,F1 score,accuracy score,model,time,features
2,1.0,1.0,Random Forest,0.10292196273803711,55
3,1.0,1.0,K-Nearest Neighbors,0.3286900520324707,55
4,0.9982788296041308,0.9983593109105825,SVM,2.503375768661499,55
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.03502225875854492,56
1,1.0,1.0,Decision Tree,0.009920120239257812,56
2,1.0,1.0,Random Forest,0.06590008735656738,56
3,1.0,1.0,K-Nearest Neighbors,0.3560206890106201,56
4,0.9982788296041308,0.9983593109105825,SVM,1.6258230209350586,56
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.0318448543548584,57
1,1.0,1.0,Decision Tree,0.012379646301269531,57
2,1.0,1.0,Random Forest,0.08269524574279785,57
3,1.0,1.0,K-Nearest Neighbors,0.4480719566345215,57
4,0.9982788296041308,0.9983593109105825,SVM,2.0023629665374756,57
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.023703813552856445,58
1,1.0,1.0,Decision Tree,0.010239124298095703,58
2,1.0,1.0,Random Forest,0.06794190406799316,58
3,1.0,1.0,K-Nearest Neighbors,0.3529229164123535,58
4,0.9982788296041308,0.9983593109105825,SVM,1.706329107284546,58
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.030788660049438477,59
1,1.0,1.0,Decision Tree,0.013576984405517578,59
2,1.0,1.0,Random Forest,0.08468317985534668,59
3,1.0,1.0,K-Nearest Neighbors,0.3580150604248047,59
4,0.9982788296041308,0.9983593109105825,SVM,1.967810869216919,59
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.023916244506835938,60
1,1.0,1.0,Decision Tree,0.010316133499145508,60
2,1.0,1.0,Random Forest,0.0644068717956543,60
3,1.0,1.0,K-Nearest Neighbors,0.37384819984436035,60
4,0.9978476108480413,0.9979491386382281,SVM,2.0030031204223633,60
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.025431156158447266,61
1,1.0,1.0,Decision Tree,0.01122283935546875,61
2,1.0,1.0,Random Forest,0.07598209381103516,61
3,1.0,1.0,K-Nearest Neighbors,0.3528132438659668,61
4,0.9982788296041308,0.9983593109105825,SVM,2.3273580074310303,61
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.02431201934814453,62
1,1.0,1.0,Decision Tree,0.01170492172241211,62
2,1.0,1.0,Random Forest,0.0652463436126709,62
3,1.0,1.0,K-Nearest Neighbors,0.3362438678741455,62
4,1.0,1.0,SVM,2.109070062637329,62
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.025081872940063477,63
1,1.0,1.0,Decision Tree,0.012145519256591797,63
2,1.0,1.0,Random Forest,0.06950092315673828,63
3,1.0,1.0,K-Nearest Neighbors,0.4052407741546631,63
4,1.0,1.0,SVM,2.1927523612976074,63
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.024352073669433594,64
1,1.0,1.0,Decision Tree,0.011214017868041992,64
2,1.0,1.0,Random Forest,0.06774783134460449,64
3,1.0,1.0,K-Nearest Neighbors,0.3714017868041992,64
4,1.0,1.0,SVM,2.1882431507110596,64
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.028432846069335938,65
1,1.0,1.0,Decision Tree,0.01175999641418457,65
2,1.0,1.0,Random Forest,0.07418107986450195,65
3,1.0,1.0,K-Nearest Neighbors,0.37701416015625,65
4,1.0,1.0,SVM,2.3551018238067627,65
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.02757859230041504,66
1,1.0,1.0,Decision Tree,0.011610031127929688,66
2,1.0,1.0,Random Forest,0.07172298431396484,66
3,1.0,1.0,K-Nearest Neighbors,0.4043862819671631,66
4,1.0,1.0,SVM,2.365906238555908,66
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.025178194046020508,67
1,1.0,1.0,Decision Tree,0.01096034049987793,67
2,1.0,1.0,Random Forest,0.06460118293762207,67
3,1.0,1.0,K-Nearest Neighbors,0.4146583080291748,67
4,1.0,1.0,SVM,2.5260093212127686,67
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.02680683135986328,68
1,1.0,1.0,Decision Tree,0.011373519897460938,68
2,1.0,1.0,Random Forest,0.06651186943054199,68
3,1.0,1.0,K-Nearest Neighbors,0.4285602569580078,68
4,1.0,1.0,SVM,2.816469192504883,68
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.025602102279663086,69
1,1.0,1.0,Decision Tree,0.01236724853515625,69
2,1.0,1.0,Random Forest,0.0655062198638916,69
3,1.0,1.0,K-Nearest Neighbors,0.3867049217224121,69
4,1.0,1.0,SVM,2.6638500690460205,69
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.027592182159423828,70
1,1.0,1.0,Decision Tree,0.013000726699829102,70
2,1.0,1.0,Random Forest,0.09353518486022949,70
3,1.0,1.0,K-Nearest Neighbors,0.43432092666625977,70
4,1.0,1.0,SVM,2.995981216430664,70
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.027357101440429688,71
1,1.0,1.0,Decision Tree,0.01239919662475586,71
2,1.0,1.0,Random Forest,0.07215595245361328,71
3,1.0,1.0,K-Nearest Neighbors,0.49974894523620605,71
4,1.0,1.0,SVM,3.17297101020813,71
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.026917219161987305,72
1,1.0,1.0,Decision Tree,0.012523412704467773,72
2,1.0,1.0,Random Forest,0.06870007514953613,72
3,1.0,1.0,K-Nearest Neighbors,0.4537639617919922,72
4,1.0,1.0,SVM,3.269252061843872,72
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.028181076049804688,73
1,1.0,1.0,Decision Tree,0.012747764587402344,73
2,1.0,1.0,Random Forest,0.07116127014160156,73
3,1.0,1.0,K-Nearest Neighbors,0.5273396968841553,73
4,1.0,1.0,SVM,3.4884297847747803,73
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.026104211807250977,74
1,1.0,1.0,Decision Tree,0.013233184814453125,74
2,1.0,1.0,Random Forest,0.0660550594329834,74
3,1.0,1.0,K-Nearest Neighbors,0.4593181610107422,74
4,1.0,1.0,SVM,3.240642786026001,74
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.041210174560546875,75
1,1.0,1.0,Decision Tree,0.017354965209960938,75
2,1.0,1.0,Random Forest,0.09797239303588867,75
3,1.0,1.0,K-Nearest Neighbors,0.5553722381591797,75
4,1.0,1.0,SVM,3.390990972518921,75
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.02900838851928711,76
1,1.0,1.0,Decision Tree,0.014401912689208984,76
2,1.0,1.0,Random Forest,0.07321906089782715,76
3,1.0,1.0,K-Nearest Neighbors,0.5651881694793701,76
4,1.0,1.0,SVM,3.6577231884002686,76
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.0279238224029541,77
1,1.0,1.0,Decision Tree,0.01275777816772461,77
2,1.0,1.0,Random Forest,0.0684499740600586,77
3,1.0,1.0,K-Nearest Neighbors,0.487699031829834,77
4,1.0,1.0,SVM,3.6716649532318115,77
0,0.9982788296041308,0.9983593109105825,Logistic Regression,0.044202327728271484,78
1,1.0,1.0,Decision Tree,0.014454841613769531,78
2,1.0,1.0,Random Forest,0.07795405387878418,78
3,1.0,1.0,K-Nearest Neighbors,0.5276679992675781,78
4,1.0,1.0,SVM,4.176543474197388,78
0,0.9982788296041308,0.9983593109105825,Logistic Regression,0.02767777442932129,79
1,1.0,1.0,Decision Tree,0.01857304573059082,79
2,1.0,1.0,Random Forest,0.06911206245422363,79
3,1.0,1.0,K-Nearest Neighbors,0.6557481288909912,79
4,1.0,1.0,SVM,4.594755411148071,79
0,0.9982788296041308,0.9983593109105825,Logistic Regression,0.027407169342041016,80
1,1.0,1.0,Decision Tree,0.011749029159545898,80
2,1.0,1.0,Random Forest,0.06804800033569336,80
3,1.0,1.0,K-Nearest Neighbors,0.4993009567260742,80
4,1.0,1.0,SVM,3.8202970027923584,80
0,0.9982788296041308,0.9983593109105825,Logistic Regression,0.06750702857971191,81
1,1.0,1.0,Decision Tree,0.012420892715454102,81
2,1.0,1.0,Random Forest,0.07345199584960938,81
3,1.0,1.0,K-Nearest Neighbors,0.5527820587158203,81
4,1.0,1.0,SVM,4.0665059089660645,81
0,0.9982788296041308,0.9983593109105825,Logistic Regression,0.0737450122833252,82
1,1.0,1.0,Decision Tree,0.01805901527404785,82
2,1.0,1.0,Random Forest,0.07587885856628418,82
3,1.0,1.0,K-Nearest Neighbors,0.641211986541748,82
4,1.0,1.0,SVM,4.624483108520508,82
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.030324697494506836,83
1,1.0,1.0,Decision Tree,0.012971162796020508,83
2,1.0,1.0,Random Forest,0.07640409469604492,83
3,1.0,1.0,K-Nearest Neighbors,0.5931658744812012,83
4,1.0,1.0,SVM,4.650091648101807,83
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.05647897720336914,84
1,1.0,1.0,Decision Tree,0.012396812438964844,84
2,1.0,1.0,Random Forest,0.07260990142822266,84
3,1.0,1.0,K-Nearest Neighbors,0.5743212699890137,84
4,1.0,1.0,SVM,5.090231895446777,84
0,0.9978476108480413,0.9979491386382281,Logistic Regression,0.029126882553100586,85
